N,threads,tempo_sequencial,tempo_concorrente,aceleracao,eficiencia,primos_encontrados
10000,1,0.001078,0.000681,1.581521,1.581521,1229
10000,1,0.000823,0.000783,1.050580,1.050580,1229
10000,1,0.000845,0.000686,1.231760,1.231760,1229
10000,1,0.000886,0.000782,1.132947,1.132947,1229
10000,1,0.000784,0.000746,1.050453,1.050453,1229
10000,1,0.000810,0.000681,1.189492,1.189492,1229
10000,1,0.000917,0.000908,1.010227,1.010227,1229
10000,1,0.000766,0.000730,1.047961,1.047961,1229
10000,1,0.000850,0.000745,1.140772,1.140772,1229
10000,1,0.000858,0.000708,1.210996,1.210996,1229
10000,1,0.000834,0.000700,1.191868,1.191868,1229
10000,1,0.000913,0.000739,1.236226,1.236226,1229
10000,1,0.000783,0.000712,1.098651,1.098651,1229
10000,1,0.000888,0.000738,1.204275,1.204275,1229
10000,1,0.000851,0.000767,1.110398,1.110398,1229
10000,1,0.000760,0.000737,1.031709,1.031709,1229
10000,1,0.000929,0.000738,1.258751,1.258751,1229
10000,1,0.000794,0.000772,1.028615,1.028615,1229
10000,1,0.000809,0.000722,1.119285,1.119285,1229
10000,1,0.000800,0.000643,1.244542,1.244542,1229
10000,1,0.000807,0.000680,1.186158,1.186158,1229
10000,1,0.000936,0.000776,1.205329,1.205329,1229
10000,1,0.000778,0.000695,1.119549,1.119549,1229
10000,1,0.000853,0.000836,1.020327,1.020327,1229
10000,1,0.000869,0.000789,1.102508,1.102508,1229
10000,1,0.000787,0.000675,1.165222,1.165222,1229
10000,1,0.000907,0.000782,1.160068,1.160068,1229
10000,1,0.000778,0.000767,1.013877,1.013877,1229
10000,1,0.000863,0.000653,1.321340,1.321340,1229
10000,1,0.000786,0.000726,1.083325,1.083325,1229
10000,1,0.000895,0.000733,1.222357,1.222357,1229
10000,1,0.000817,0.000675,1.210112,1.210112,1229
10000,1,0.000878,0.000684,1.282788,1.282788,1229
10000,1,0.000869,0.000779,1.116066,1.116066,1229
10000,1,0.000820,0.000645,1.270751,1.270751,1229
10000,1,0.000784,0.000812,0.965000,0.965000,1229
10000,1,0.000821,0.000692,1.186733,1.186733,1229
10000,1,0.000776,0.000757,1.024929,1.024929,1229
10000,1,0.000936,0.000726,1.289983,1.289983,1229
10000,1,0.000835,0.000765,1.091659,1.091659,1229
10000,1,0.000884,0.000679,1.300778,1.300778,1229
10000,1,0.000823,0.000754,1.090985,1.090985,1229
10000,1,0.000948,0.000625,1.515996,1.515996,1229
10000,1,0.000986,0.000686,1.437677,1.437677,1229
10000,1,0.000811,0.000705,1.150536,1.150536,1229
10000,1,0.000888,0.000766,1.160260,1.160260,1229
10000,1,0.000811,0.000766,1.058214,1.058214,1229
10000,1,0.000764,0.000877,0.870406,0.870406,1229
10000,1,0.000829,0.000856,0.968398,0.968398,1229
10000,1,0.000780,0.000678,1.150826,1.150826,1229
10000,2,0.000777,0.000816,0.951815,0.475908,1229
10000,2,0.000866,0.000787,1.101422,0.550711,1229
10000,2,0.000892,0.000852,1.046845,0.523423,1229
10000,2,0.000862,0.000789,1.091962,0.545981,1229
10000,2,0.000968,0.000931,1.040062,0.520031,1229
10000,2,0.001025,0.000811,1.263855,0.631928,1229
10000,2,0.000755,0.000753,1.002668,0.501334,1229
10000,2,0.000890,0.000718,1.238354,0.619177,1229
10000,2,0.000864,0.000794,1.088788,0.544394,1229
10000,2,0.000827,0.000788,1.050108,0.525054,1229
10000,2,0.000803,0.000812,0.988166,0.494083,1229
10000,2,0.000793,0.000824,0.962210,0.481105,1229
10000,2,0.000903,0.000921,0.980365,0.490182,1229
10000,2,0.000866,0.000806,1.074277,0.537139,1229
10000,2,0.000836,0.000783,1.067860,0.533930,1229
10000,2,0.000817,0.000759,1.076574,0.538287,1229
10000,2,0.000909,0.000764,1.189146,0.594573,1229
10000,2,0.000857,0.000907,0.944321,0.472160,1229
